date,open,high,low,close,volume
2024-09-24,0.895,0.982,0.885,0.965,4250000
2024-09-25,0.968,1.078,0.958,1.055,6800000
2024-09-26,1.058,1.165,1.045,1.142,8200000
2024-09-27,1.145,1.258,1.132,1.235,9500000
2024-09-30,1.238,1.348,1.225,1.325,10800000
2024-10-08,1.558,1.648,1.268,1.342,15200000
2024-10-09,1.338,1.425,1.218,1.262,12400000
2024-10-10,1.258,1.348,1.148,1.185,10800000
2024-10-14,1.182,1.265,1.095,1.128,9200000
2024-10-21,1.125,1.205,1.045,1.085,7800000
2024-11-01,1.082,1.158,0.998,1.045,6500000
2024-11-15,1.042,1.118,0.958,1.012,5800000
2024-12-02,1.008,1.082,0.928,0.978,5200000
2024-12-16,0.975,1.052,0.895,0.948,5500000
2025-01-06,0.945,1.018,0.875,0.918,5800000
2025-01-13,0.915,0.988,0.845,0.888,6100000
2025-01-20,0.885,0.958,0.815,0.858,6400000
2025-02-03,0.855,0.935,0.792,0.882,7000000
2025-02-10,0.885,0.968,0.842,0.942,8200000
2025-02-17,0.945,1.035,0.902,1.018,9500000
2025-02-18,1.022,1.112,0.978,1.092,10800000
2025-02-19,1.095,1.188,1.052,1.168,12100000
2025-02-20,1.172,1.262,1.128,1.245,13200000
2025-02-24,1.248,1.335,1.205,1.318,14000000
2025-02-25,1.322,1.408,1.278,1.392,14500000
2025-02-28,1.395,1.478,1.352,1.462,14200000
2025-03-03,1.458,1.538,1.415,1.498,13500000
2025-03-10,1.495,1.568,1.448,1.478,12800000
2025-03-17,1.472,1.542,1.425,1.452,12200000
2025-03-24,1.448,1.518,1.402,1.428,11600000
2025-03-31,1.425,1.495,1.378,1.405,11000000
2025-04-07,1.298,1.378,1.215,1.248,14500000
2025-04-10,1.245,1.328,1.178,1.298,13000000
